project_name,project_name_crawl,project_name_hd,address,city,district,ward,lat_cdnt,long_cdnt,alias,alias_cum_perc,sector,building,max_building_num,project_name_accent_rm
An Phú New City,An Phú New City,,"Đường Nguyễn Hoàng, Phường An Phú, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Phú,,,"Dự Án An Phú New City, An Phú New City",1.0,,,,An Phu New City
An Phú Apartment,An Phú Apartment,Chung cư An Phú Apartment,"961 Hậu Giang, Phường 11, Quận 6, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 06,P. 11,10.74516737,106.6260555,"Căn Hộ Chung Cư An Phú Apartment, Bán Chung Cư Hậu Giang, An Phú Apartment Complex, An Phú Apartment",0.9990224829,,,,An Phu Apartment
An Phú - An Khánh,An Phú - An Khánh,,"Phường An Phú, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Phú,,,,,,,,An Phu - An Khanh
An Nhơn Green Park,An Nhơn Green Park,,"Phường Bình Định, An Nhơn, Bình Định.",T. Bình Định,TX. An Nhơn,P. Bình Định,,,,,,,,An Nhon Green Park
An Lộc,Chung cư An Lộc,,"Số 7, Phường 17, Gò Vấp , Tp.HCM , Việt Nam.",TP. Hồ Chí Minh,Q. Gò Vấp,P. 17,,,"Chung Cư An Lộc, An Lộc",0.7333333333,,,,An Loc
An Lạc Residence,An Lạc Residence,,"Đường Trần Đại Nghĩa, Xã Tân Nhựt, Bình Chánh, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Bình Chánh,X. Tân Nhựt,,,,,,,,An Lac Residence
An Lạc Plaza,An Lạc Plaza,,"Đường 7, Phường An Lạc A, Bình Tân, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Tân,P. An Lạc A,,,An Lạc Plaza,0.5454545455,,,,An Lac Plaza
An Lạc Green Symphony,An Lạc Green Symphony,,"Xã Vân Canh, Hoài Đức, Hà Nội.",TP. Hà Nội,H. Hoài Đức,X. Vân Canh,,,An Lạc Green Symphony,1.0,,,,An Lac Green Symphony
An Lạc - Phùng Khoang,An Lạc - Phùng Khoang,An Lạc Phùng Khoang,"Đường Phùng Khoang, Xã Trung Văn, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Trung Văn,20.986626,105.788711,,,,,,An Lac - Phung Khoang
An Lạc - Nam La Khê,An Lạc - Nam La Khê,,"368 Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Quang Trung,,,,,,,,An Lac - Nam La Khe
An Lạc,Chung cư An Lạc,Chung cư An Lạc,"38 Hoàng Ngân, Phường Trung Hòa, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Trung Hòa,20.964165,105.764974,"Mỹ Đình, Căn Hộ Chung Cư An Lạc",0.7777777778,,,,An Lac
An Loc An Phuc,An Lộc  - An Phúc,,"Đường Nguyễn Hoàng, Phường An Phú, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Phú,,,"Bán Căn Hộ Chung Cư Tại An Lộc  An Phúc, An Lộc  An Phúc, Căn Hộ Chung Cư An Lộc An Phúc, An Lộc An Phúc",1.0,,,,An Loc An Phuc
An Lac My Dinh,Chung cư An Lạc - Mỹ Đình,,"Đường Lưu Hữu Phước, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Mỹ Đình 1,,,Chung Cư An Lạc Mỹ Đình,0.5,,,,An Lac My Dinh
An Khang,Cao ốc An Khang,,"Đường Số 19, Phường An Phú, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Phú,,,"Căn Hộ Chung Cư An Khang, An Khang",1.0,,,,An Khang
An Hạ Riverside,An Hạ Riverside,,"Xã Đức Hoà Hạ, Đức Hòa, Long An.",T. Long An,H. Đức Hòa,X. Đức Hòa Hạ,,,,,,,,An Ha Riverside
An Hạ Lotus,An Hạ Lotus,,"Đường Tỉnh Lộ 10, Xã Phạm Văn Hai, Bình Chánh, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Bình Chánh,X. Phạm Văn Hai,,,,,,,,An Ha Lotus
An Hòa,Chung cư An Hòa,,"Phường An Phú, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Phú,,,"Khu Căn Hộ An Hòa, An Hòa Nam Long, Bán Chung Cư Khu Căn Hộ An Hòa, Chung Cư An Hòa, Căn Hộ Chung Cư An Hòa",0.7432432432,,,,An Hoa
An Gia Skyline,An Gia Skyline,Chung cư Angia Skyline,"89 Đường Hoàng Quốc Việt, phường Phú Thuận, quận 7, Tp.HCM.",TP. Hồ Chí Minh,Q. 07,P. Phú Thuận,10.71546363,106.7408677,"An Gia Skyline, Bán Chung Cư An Gia Skyline, Khu Căn Hộ An Gia Skyline, Căn Hộ Chung Cư An Gia Skyline, An Gia Riverside",0.9851079672,,,,An Gia Skyline
An Gia Riverside,An Gia Riverside,,"Đường Đào Trí - Hoàng Quốc Việt, phường Phú Thuận, quận 7, Tp.HCM.",TP. Hồ Chí Minh,Q. 07,P. Phú Thuận,,,"Bán Chung Cư An Gia Riverside, Căn Hộ Chung Cư An Gia Riverside, An Gia Riverside, Dự Án Angia Riverside, Bán Căn Hộ Chung Cư Tại An Gia Riverside",0.9958115183,,,,An Gia Riverside
An Gia Garden,An Gia Garden,Chung cư An Gia Garden,"295 Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Phú,P. Tân Sơn Nhì,10.80136731,106.6260882,"An Gia Garden, Bán Chung Cư Tân Kỳ Tân Quý, Bán Chung Cư An Gia Garden, Căn Hộ Chung Cư An Gia Garden, Bán Căn Hộ Chung Cư Tại An Gia Garden",1.0,,,,An Gia Garden
An Dân Residence,An Dân Residence,,"870 Đường Quốc lộ 1A, Phường Linh Trung, Thủ Đức, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Linh Trung,,,,,,,,An Dan Residence
An Cựu City,An Cựu City,,"Đường 7, Phường An Đông, Huế, Thừa Thiên Huế.",T. Thừa Thiên - Huế,TP. Huế,P. Hương An,,,,,,,,An Cuu City
An Cư,Chung cư An Cư,,"Đường Thái Thuận, Phường An Phú, Quận 2, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. An Phú,,,An Cư,0.5022026432,,,,An Cu
An Bình Tower,An Bình Tower,An Bình Tower,"69 đường Cổ Nhuế, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Bắc Từ Liêm,P. Cổ Nhuế 1,21.069701,105.777476,Căn Hộ Chung Cư An Bình Tower,0.5656565657,,,,An Binh Tower
An Bình Plaza (Sunshine Tower),An Bình Plaza (Sunshine Tower),,"Đường Quốc lộ 1A, Phường An Bình, Dĩ An, Bình Dương.",T. Bình Dương,TP. Dĩ An,P. Dĩ An,,,,,,,,An Binh Plaza (Sunshine Tower)
An Bình Plaza,An Bình Plaza,An Bình Plaza,"97 Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Mỹ Đình 2,21.03093,105.77718,"Bán Chung Cư Trần Bình, An Bình Plaza, Bán Căn Hộ Chung Cư Tại An Bình Plaza, An Bình Plaza_Hà Nội",1.0,,,,An Binh Plaza
An Bình City,An Bình City,An Bình City,"Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Bắc Từ Liêm,P. Cổ Nhuế 1,21.050225,105.778359,An Bình City,0.7802406586,,,,An Binh City
An Bình 1,An Bình 1,,"Lô A-CN2 Khu đô thị mới Định Công, phường Định Công, quận Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Định Công,,,Căn Hộ Chung Cư An Bình 1,0.5,,,,An Binh 1
An Bình,Chung cư An Bình,,"787 Lũy Bán Bích, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Phú,P. Phú Thạnh,,,"An Bình, Chung Cư An Bình",0.7978723404,,,,An Binh
Amber Riverside,Amber Riverside,Amber Riverside,"Ngõ 622 Minh Khai, phường Vĩnh Tuy, quận Hai Bà Trưng, Hà Nội.",TP. Hà Nội,Q. Hai Bà Trưng,P. Vĩnh Tuy,20.997277,105.871345,"Amber Riverside, Chung cư 622 Minh Khai",0.7547770701,,,,Amber Riverside
Amber Court,Amber Court,,"Đường Võ Thị Sáu, Phường Thống Nhất, Biên Hòa, Đồng Nai.",T. Đồng Nai,TP. Biên Hòa,P. Thống Nhất,,,,,,,,Amber Court
Amazing City,Amazing City,,"Phố Trần Đại Nghĩa, xã Tân Nhựt, huyện Bình Chánh, Tp.HCM.",TP. Hồ Chí Minh,H. Bình Chánh,X. Tân Nhựt,,,Khu Căn Hộ Amazing City,0.5,,,,Amazing City
Amata City Long Thành,Amata City Long Thành,,"Thị trấn Long Thành, Long Thành, Đồng Nai.",T. Đồng Nai,H. Long Thành,TT. Long Thành,,,,,,,,Amata City Long Thanh
Alva Plaza Bình Dương,Alva Plaza Bình Dương,,"Đường Thủ Khoa Huân, Phường Thuận Giao, Thuận An, Bình Dương.",T. Bình Dương,TP. Thuận An,P. Thuận Giao,,,,,,,,Alva Plaza Binh Duong
Altara Residences,Altara Residences,,"Đường Trần Hưng Đạo, Phường Hải Cảng, Quy Nhơn, Bình Định.",T. Bình Định,TP. Quy Nhơn,P. Hải Cảng,,,,,,,,Altara Residences
Alphanam Luxury Apartment,Alphanam Luxury Apartment,Alphanam Luxury Apartment,"Đường Võ Nguyên Giáp, Sơn Trà, Đà Nẵng.",TP. Đà Nẵng,Q. Sơn Trà,UNK,16.077702,108.245057,,,,,,Alphanam Luxury Apartment
Alpha City,Alpha City,,"87 Đường Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 01,P. Nguyễn Cư Trinh,,,,,,,,Alpha City
Akari City,Akari City Nam Long,Chung cư Akari City Nam Long,"Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Tân,P. An Lạc,10.717639,106.606928,Akari City Nam Long,0.7710959069,,,,Akari City
Airport New Center,Airport New Center,,"Đường Hiền Đức, Xã Phước Thái, Long Thành, Đồng Nai.",T. Đồng Nai,H. Long Thành,X. Phước Thái,,,,,,,,Airport New Center
Airlink Town,Airlink Town,,"Đường ĐT 769, xã Long Phước, Long Thành, Đồng Nai.",T. Đồng Nai,H. Long Thành,X. Long Phước,,,,,,,,Airlink Town
Airlink City 3,Airlink City 3,,"Đường Bưng Cơ, Xã Lộc An, Long Thành, Đồng Nai.",T. Đồng Nai,H. Long Thành,X. Lộc An,,,,,,,,Airlink City 3
Airlink City,Airlink City,,"Đường Quốc Lộ 51, xã Long Phước, Long Thành, Đồng Nai.",T. Đồng Nai,H. Long Thành,X. Long Phước,,,,,,,,Airlink City
Aio City,Aio City,,"Đường Tên Lửa, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Tân,P. Bình Trị Đông,,,"Aio City, Aio City Bình Tân, Bán Căn Hộ Chung Cư Tại Aio City, Căn Hộ Chung Cư Aio City",1.0,,,,Aio City
Adi Lucky Home,Adi Lucky Home,,"Đường Lê Cơ, Phường Tân Tạo, Bình Tân, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Tân,P. Tân Tạo,,,Căn Hộ Chung Cư Adi Lucky Home,1.0,,,,Adi Lucky Home
Acenza Villas,Acenza Villas,,"Nguyễn Thông, Kp 5, P. Phú Hài,  Phan Thiết, Bình Thuận.",T. Bình Thuận,TP. Phan Thiết,P. Phú Hài,,,,,,,,Acenza Villas
Ab Central Square,AB Central Square,,"Số 44 đường Trần Phú, Nha Trang, Khánh Hòa.",T. Khánh Hòa,TP. Nha Trang,UNK,,,,,,,,Ab Central Square
A14 Nam Trung Yen,A10-A14 Nam Trung Yên,A14 Nam Trung Yên,"Lô A10-A14 Khu đô thị Nam Trung Yên, phường Yên Hòa, quận Cầu giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Yên Hòa,21.01779,105.789038,,,,,,A14 Nam Trung Yen
A1 Riverside,A1 Riverside,,"Đường 15B, phường Phú Mỹ, quận 7, Tp.HCM.",TP. Hồ Chí Minh,Q. 07,P. Phú Mỹ,,,Căn Hộ Chung Cư A1 Riverside,0.4339622642,,,,A1 Riverside
A.View,Chung cư A.View,,"Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh.",TP. Hồ Chí Minh,H. Bình Chánh,X. Phong Phú,,,"Chung Cư A.View, A.View",0.7692307692,,,,A.View
A La Carte Hạ Long Bay,A La Carte Hạ Long Bay,,"Phường Hùng Thắng, Hạ Long, Quảng Ninh.",T. Quảng Ninh,TP. Hạ Long,P. Hùng Thắng,,,A La Carte Hạ Long,1.0,,,,A La Carte Ha Long Bay
9X Golden Stella,Căn hộ 9x Golden Stella,,"307-309 Đường Lê Văn Quới, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Tân,P. Bình Trị Đông,,,,,,,,9X Golden Stella
96 Định Công,Chung cư 96 Định Công,Chung cư 96 Định Công,"96 Đường Định Công, Phường Phương Liệt, Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Phương Liệt,20.984923,105.838763,"Căn Hộ Chung Cư Green Life Complex 176 Định Công, Chung Cư 96 Định Công",0.7396226415,,,,96 Dinh Cong
9 View Apartment,9 View Apartment,Chung cư 9 View Apartment,"Đường Tăng Nhơn Phú, Phường Phước Long B, Quận 9, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Phước Long B,10.82864521,106.774644,"9 View Apartment, Sài Gòn Avenue, Bán Căn Hộ Chung Cư Tại 9 View Apartment, Căn Hộ Chung Cư 9 View Apartment",1.0,,,,9 View Apartment
8X Đầm Sen,Căn hộ 8X Đầm Sen,,"57 Tô Hiệu, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Phú,P. Hiệp Tân,,,"Căn Hộ 8X Đầm Sen, 8X Đầm Sen, Căn Hộ Chung Cư 8X Đầm Sen",0.6907514451,,,,8X Dam Sen
8X Thái An,Căn hộ 8X Thái An,Chung cư 8X Thái An,"Số 21/5D Phan Huy Ích, Phường 14, Gò Vấp , Tp.HCM , Việt Nam.",TP. Hồ Chí Minh,Q. Gò Vấp,P. 14,10.83455222,106.634211,Căn Hộ 8X Thái An,0.5084745763,,,,8X Thai An
8X Rainbow,Căn hộ 8X Rainbow,Chung cư 8X Rainbow,"119 Bình Long, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Tân,P. Bình Hưng Hòa A,10.77914164,106.620079,Căn Hộ 8X Rainbow,0.5424929178,,,,8X Rainbow
8X Plus Trường Chinh,Căn hộ 8X Plus Trường Chinh,,"22 Đường Trường Chinh, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 12,P. Tân Thới Nhất,,,Căn Hộ 8X Plus Trường Chinh,0.5569620253,,,,8X Plus Truong Chinh
89 Phùng Hưng,Chung cư 89 Phùng Hưng,The Sun Garden,"Đường Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội.",TP. Hà Nội,Q. Hà Đông,P. Phúc La,,,Chung Cư 89 Phùng Hưng,0.5076923077,,,,89 Phung Hung
84 Thợ Nhuộm - Hanoi Apartment Center,84 Thợ Nhuộm - Hanoi Apartment Center,,"Phố Thợ Nhuộm, Phường Trần Hưng Đạo, Hoàn Kiếm, Hà Nội.",TP. Hà Nội,Q. Hoàn Kiếm,P. Trần Hưng Đạo,,,,,,,,84 Tho Nhuom - Hanoi Apartment Center
83 Ngọc Hồi,Chung cư 83 Ngọc Hồi,Chung cư Hoàng Dương,"83 Đường Ngọc Hồi, Phường Đại Kim, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Đại Kim,,,Chung Cư 83 Ngọc Hồi,0.552238806,,,,83 Ngoc Hoi
789 Xuân Đỉnh,Chung cư 789 Xuân Đỉnh,Chung cư 789 Xuân Đỉnh,"Xã Xuân Đỉnh, Bắc Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Bắc Từ Liêm,P. Xuân Đỉnh,21.069671,105.797195,"Chung Cư 789 Xuân Đỉnh, Căn Hộ Chung Cư 789 Xuân Đỉnh, 789 Xuân Đỉnh, 789 Xuân Đỉnh Ngoại Giao Đoàn, Bán Căn Hộ Chung Cư Tại Chung Cư 789 Xuân Đỉnh",0.9975903614,,,,789 Xuan Dinh
72 Quan Nhân,Chung cư 72 Quan Nhân,,"số 38, Ngõ 72 phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Nhân Chính,,,Căn Hộ Chung Cư 72 Quan Nhân,0.7434210526,,,,72 Quan Nhan
6Th Element,6th Element,6TH Element,"Khu đô thị mới Tây Hồ Tây, Phường Xuân La, Tây Hồ, Hà Nội.",TP. Hà Nội,Q. Tây Hồ,P. Xuân La,21.051135,105.799764,6Th Element,0.7985074627,,,,6Th Element
671 Hoàng Hoa Thám,Chung cư 671 Hoàng Hoa Thám,,"671 Hoàng Hoa Thám, Phường Liễu Giai, Ba Đình, Hà Nội.",TP. Hà Nội,Q. Ba Đình,P. Liễu Giai,,,Chung Cư 671 Hoàng Hoa Thám,0.4523809524,,,,671 Hoang Hoa Tham
Amber Riverside,Chung cư 622 Minh Khai,Amber Riverside,"Ngõ 622 Minh Khai, phường Vĩnh Tuy, quận Hai Bà Trưng, Hà Nội.",TP. Hà Nội,Q. Hai Bà Trưng,P. Minh Khai,20.997277,105.871345,"Bán Chung Cư Minh Khai, Dự Án 622 Minh Khai, Căn Hộ Chung Cư Amber Riverside 622 Minh Khai, Chung Cư 622 Minh Khai",1.0,,,,Amber Riverside
60 Hoàng Quốc Việt,Chung cư 60 Hoàng Quốc Việt,60 Hoàng Quốc Việt,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Nghĩa Đô,21.047322,105.796753,Bán Chung Cư Hoàng Quốc Việt,1.0,,,,60 Hoang Quoc Viet
584 Lilama Shb,Căn hộ 584 Lilama SHB,,"384 Trịnh Đình Trọng, Phường Hòa Thạnh, Tân Phú, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Tân Phú,P. Hòa Thạnh,,,Căn Hộ Chung Cư 584 Lilama Shb,1.0,,,,584 Lilama Shb
536A Minh Khai,Chung cư 536A Minh Khai,Chung cư 536A Minh Khai,"Số 536A Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội.",TP. Hà Nội,Q. Hai Bà Trưng,P. Vĩnh Tuy,20.99881,105.87009,Chung Cư 536A Minh Khai,0.6828358209,,,,536A Minh Khai
51 Chanh Hung,Căn hộ 51 Chánh Hưng,,"Đường Phạm Hùng, Phường 5, Quận 8, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 08,P. 05,,,Căn Hộ Chung Cư 51 CháNh Hưng,0.6285714286,,,,51 Chanh Hung
4S Riverside Linh Đông,4S Riverside Linh Đông,Chung cư 4S Riverside Linh Đông,"Đường 30, Phường Linh Đông, Thủ Đức, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Linh Đông,10.84429626,106.7408073,"Bán Căn Hộ Chung Cư Tại 4S Riverside Linh Đông, 4S Riverside Linh Đông, Bán Chung Cư 4S Riverside Linh Đông, Căn Hộ Chung Cư 4S Riverside Linh Đông",0.9985082049,,,,4S Riverside Linh Dong
4S Riverside Garden Bình Triệu,4S Riverside Garden Bình Triệu,,"Đường 17, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh.",TP. Hồ Chí Minh,TP. Thủ Đức,P. Hiệp Bình Chánh,,,,,,,,4S Riverside Garden Binh Trieu
45 Nguyễn Sơn,Chung cư 45 Nguyễn Sơn,,"45 Nguyễn Sơn, Phường Long Biên, Long Biên, Hà Nội.",TP. Hà Nội,Q. Long Biên,P. Long Biên,,,Căn Hộ Chung Cư 45 Nguyễn Sơn,0.8,,,,45 Nguyen Son
41Bis Dien Bien Phu,Chung Cư 41Bis Điện Biên Phủ,,"41 Điện Biên Phủ, Phường 25, Bình Thạnh, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Thạnh,P. 25,,,Chung Cư 41Bis Điện Biên Phủ,0.5700934579,,,,41Bis Dien Bien Phu
409 Lĩnh Nam,Chung cư 409 Lĩnh Nam,,"409 Đường Lĩnh Nam, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Vĩnh Hưng,,,,,,,,409 Linh Nam
379 Đội Cấn,Chung cư 379 Đội Cấn,,"Số 25A ngõ 8/379 Đội Cấn, phường Liễu Giai, quận Ba Đình, TP. Hà Nội.",TP. Hà Nội,Q. Ba Đình,P. Liễu Giai,,,"Bán Chung Cư Kim Mã, Căn Hộ Chung Cư 379 Đội Cấn, Bán Chung Cư Hoàng Hoa Thám, Chung Cư 379 Đội Cấn",0.7981220657,,,,379 Doi Can
345 Đội Cấn,Chung cư 345 Đội Cấn,,"345 Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội.",TP. Hà Nội,Q. Ba Đình,P. Đội Cấn,,,"Tin Thường, Căn Hộ Chung Cư 345 Đội Cấn",1.0,,,,345 Doi Can
312 Lạc Long Quân,Chung cư 312 Lạc Long Quân,,"312 Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 11,P. 05,,,Chung Cư 312 Lạc Long Quân,0.5559440559,,,,312 Lac Long Quan
31 Láng Hạ,Chung cư 31 Láng Hạ,,"Số 31 Láng Hạ, phường Thành Công, quận Ba Đình, Hà Nội.",TP. Hà Nội,Q. Ba Đình,P. Thành Công,,,,,,,,31 Lang Ha
30 Phạm Văn Đồng,Chung cư 30 Phạm Văn Đồng,,"30 Phạm Văn Đồng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội.",TP. Hà Nội,Q. Cầu Giấy,P. Dịch Vọng Hậu,,,"30 Phạm Văn Đồng, Chung Cư 30 Phạm Văn Đồng, Nhà Ở Cho Cbcs Bộ Công An",0.6334951456,,,,30 Pham Van Dong
283 Lê Quang Định,Chung cư 283 Lê Quang Định,,"283 Lê Quang Định, Phường 7, Bình Thạnh, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Bình Thạnh,P. 07,,,Bán Chung Cư Chung Cư 283 Lê Quang Định,0.5,,,,283 Le Quang Dinh
282 NguyễN Huy TưởNg,Chung cư 282 Nguyễn Huy Tưởng,,"282 Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Thanh Xuân Bắc,,,,,,,,282 NguyeN Huy TuoNg
282 Linh Nam,Tòa nhà 282 Lĩnh Nam,,"282 Lĩnh Nam, Phường Lĩnh Nam, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Lĩnh Nam,,,282 Lĩnh Nam,0.5,,,,282 Linh Nam
26 Nguyễn Thượng Hiền,Chung cư 26 Nguyễn Thượng Hiền,Chung cư 26 Nguyễn Thượng Hiền,"26 Đường Nguyễn Thượng Hiền, Phường 1, Gò Vấp, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. Gò Vấp,P. 01,10.81514366,106.6871616,"Căn Hộ Chung Cư 243A Nguyễn Thượng Hiền, Chung Cư 26 Nguyễn Thượng Hiền, 26 Nguyễn Thượng Hiền",0.7785714286,,,,26 Nguyen Thuong Hien
25 Tân Mai,Chung cư 25 Tân Mai,,"25 Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội.",TP. Hà Nội,Q. Hoàng Mai,P. Tân Mai,,,K35 Tân Mai,0.546835443,,,,25 Tan Mai
25 Lạc Trung,Tổ hợp 25 Lạc Trung,Chung cư 25 Lạc Trung,"Phố Lạc Trung, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội.",TP. Hà Nội,Q. Hai Bà Trưng,P. Vĩnh Tuy,21.002213,105.865172,"25 Lạc Trung, Căn Hộ Chung Cư 25 Lạc Trung",1.0,,,,25 Lac Trung
229 Phố Vọng,Chung cư 229 Phố Vọng,,"Số 229 Phố Vọng, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội.",TP. Hà Nội,Q. Hai Bà Trưng,P. Đồng Tâm,,,"Bán Căn Hộ Chung Cư Tại Chung Cư 229 Phố Vọng, Căn Hộ Chung Cư 229 Phố Vọng",0.8,,,,229 Pho Vong
222 Doi Can,"Chung cư, văn phòng 222 Đội Cấn",,"Đường Đội cấn, Phường Liễu Giai, Ba Đình, Hà Nội.",TP. Hà Nội,Q. Ba Đình,P. Liễu Giai,,,Căn Hộ Chung Cư 222 Đội Cấn,1.0,,,,222 Doi Can
203 Nguyễn Trãi,Chung cư 203 Nguyễn Trãi,,"203 Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh.",TP. Hồ Chí Minh,Q. 01,P. Nguyễn Cư Trinh,,,"Căn Hộ Chung Cư 203 Nguyễn Trãi, 203 Nguyễn Trãi",0.75,,,,203 Nguyen Trai
199 Hồ Tùng Mậu,Chung cư 199 Hồ Tùng Mậu,199 Cowa Tower,"Số 199 Hồ Tùng Mậu, phường Cầu Diễn, Bắc Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Bắc Từ Liêm,UNK,,,"Bán Căn Hộ Chung Cư Tại Đường Hồ Tùng Mậu, Bán Căn Hộ Chung Cư Tại Chung Cư 199 Hồ Tùng Mậu, Mỹ Đình, Chung Cư 199 Hồ Tùng Mậu",1.0,,,,199 Ho Tung Mau
187 Tây Sơn,Chung cư 187 Tây Sơn,,"187 Tây Sơn, Phường Quang Trung, Đống Đa, Hà Nội.",TP. Hà Nội,Q. Đống Đa,P. Quang Trung,,,Chung Cư 187 Tây Sơn,0.7222222222,,,,187 Tay Son
183 Hoàng Văn Thái,Chung cư 183 Hoàng Văn Thái,Khu nhà ở 183 Hoàng Văn Thái,"183 Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội.",TP. Hà Nội,Q. Thanh Xuân,P. Khương Trung,20.995743,105.82313,"Chung Cư 183 Hoàng Văn Thái, Căn Hộ Chung Cư 183 Hoàng Văn Thái",0.6511627907,,,,183 Hoang Van Thai
170 De La Thanh Gp Building,Chung cư 170 Đê La Thành - GP Building,Chung cư 170 La Thành,"170 La Thành, Phường Ô Chợ Dừa, Đống Đa, Hà Nội.",TP. Hà Nội,Q. Đống Đa,P. Ô Chợ Dừa,,,Chung Cư 170 Đê La Thành Gp Building,0.4747145188,,,,170 De La Thanh Gp Building
17 Phạm Hùng Vimefulland,Chung cư 17 Phạm Hùng Vimefulland,,"Đường Phạm Hùng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội.",TP. Hà Nội,Q. Nam Từ Liêm,P. Mỹ Đình 2,,,,,,,,17 Pham Hung Vimefulland
